municipality_id,name,country_code
624,"Villarejo del Valle",ES
625,Villatoro,ES
626,"Viñegra de Moraña",ES
627,Vita,ES
628,"Zapardiel de la Cañada",ES
629,"Zapardiel de la Ribera",ES
630,Acedera,ES
631,Aceuchal,ES
632,Ahillones,ES
633,Alange,ES
634,"Albuera, La",ES
635,Alburquerque,ES
636,Alconchel,ES
637,Alconera,ES
638,Aljucén,ES
639,Almendral,ES
640,Almendralejo,ES
641,"Arroyo de San Serván",ES
642,Atalaya,ES
643,Azuaga,ES
644,Badajoz,ES
645,Barcarrota,ES
646,Baterno,ES
647,"Benquerencia de la Serena",ES
648,Berlanga,ES
649,Bienvenida,ES
650,"Bodonal de la Sierra",ES
651,"Burguillos del Cerro",ES
652,"Cabeza del Buey",ES
653,"Cabeza la Vaca",ES
654,Calamonte,ES
655,"Calera de León",ES
656,"Calzadilla de los Barros",ES
657,Campanario,ES
658,"Campillo de Llerena",ES
659,Capilla,ES
660,Carmonita,ES
661,"Carrascalejo, El",ES
662,"Casas de Don Pedro",ES
663,"Casas de Reina",ES
664,Castilblanco,ES
665,Castuera,ES
666,Cheles,ES
667,"Codosera, La",ES
668,"Cordobilla de Lácara",ES
669,"Coronada, La",ES
670,"Corte de Peleas",ES
671,Cristina,ES
672,"Don Álvaro",ES
673,"Don Benito",ES
674,"Entrín Bajo",ES
675,Esparragalejo,ES
676,"Esparragosa de la Serena",ES
677,"Esparragosa de Lares",ES
678,Feria,ES
679,"Fregenal de la Sierra",ES
680,"Fuenlabrada de los Montes",ES
681,"Fuente de Cantos",ES
682,"Fuente del Arco",ES
683,"Fuente del Maestre",ES
684,"Fuentes de León",ES
685,Garbayuela,ES
686,Garlitos,ES
687,"Garrovilla, La",ES
688,"Granja de Torrehermosa",ES
689,"Guadiana del Caudillo",ES
690,Guareña,ES
691,"Haba, La",ES
692,"Helechosa de los Montes",ES
693,"Herrera del Duque",ES
694,"Higuera de la Serena",ES
695,"Higuera de Llerena",ES
696,"Higuera de Vargas",ES
697,"Higuera la Real",ES
698,"Hinojosa del Valle",ES
699,Hornachos,ES
700,"Jerez de los Caballeros",ES
701,"Lapa, La",ES
702,Llera,ES
703,Llerena,ES
704,Lobón,ES
705,Magacela,ES
706,Maguilla,ES
707,Malcocinado,ES
708,"Malpartida de la Serena",ES
709,Manchita,ES
710,Medellín,ES
711,"Medina de las Torres",ES
712,Mengabril,ES
713,Mérida,ES
714,Mirandilla,ES
715,Monesterio,ES
716,Montemolín,ES
717,"Monterrubio de la Serena",ES
718,Montijo,ES
719,"Morera, La",ES
720,"Nava de Santiago, La",ES
721,"Navalvillar de Pela",ES
722,Nogales,ES
723,"Oliva de la Frontera",ES
724,"Oliva de Mérida",ES
725,Olivenza,ES
726,"Orellana de la Sierra",ES
727,"Orellana la Vieja",ES
728,Palomas,ES
729,"Parra, La",ES
730,Peñalsordo,ES
731,"Peraleda del Zaucejo",ES
732,"Puebla de Alcocer",ES
733,"Puebla de la Calzada",ES
734,"Puebla de la Reina",ES
735,"Puebla de Obando",ES
736,"Puebla de Sancho Pérez",ES
737,"Puebla del Maestre",ES
738,"Puebla del Prior",ES
739,"Pueblonuevo del Guadiana",ES
740,"Quintana de la Serena",ES
741,Reina,ES
742,Rena,ES
743,"Retamal de Llerena",ES
744,"Ribera del Fresno",ES
745,Risco,ES
746,"Roca de la Sierra, La",ES
747,Salvaleón,ES
748,"Salvatierra de los Barros",ES
749,"San Pedro de Mérida",ES
750,"San Vicente de Alcántara",ES
751,"Sancti-Spíritus (Badajoz)",ES
752,"Santa Amalia",ES
753,"Santa Marta",ES
754,"Santos de Maimona, Los",ES
755,"Segura de León",ES
756,Siruela,ES
757,"Solana de los Barros",ES
758,Talarrubias,ES
759,"Talavera la Real",ES
760,Táliga,ES
761,Tamurejo,ES
762,"Torre de Miguel Sesmero",ES
763,Torremayor,ES
764,Torremejía,ES
765,Trasierra,ES
766,Trujillanos,ES
767,Usagre,ES
768,Valdecaballeros,ES
769,Valdelacalzada,ES
770,Valdetorres,ES
771,"Valencia de las Torres",ES
772,"Valencia del Mombuey",ES
773,"Valencia del Ventoso",ES
774,"Valle de la Serena",ES
775,"Valle de Matamoros",ES
776,"Valle de Santa Ana",ES
777,"Valverde de Burguillos",ES
778,"Valverde de Leganés",ES
779,"Valverde de Llerena",ES
780,"Valverde de Mérida",ES
781,"Villafranca de los Barros",ES
782,"Villagarcía de la Torre",ES
783,Villagonzalo,ES
784,"Villalba de los Barros",ES
785,"Villanueva de la Serena",ES
786,"Villanueva del Fresno",ES
787,"Villar de Rena",ES
788,"Villar del Rey",ES
789,"Villarta de los Montes",ES
790,Zafra,ES
791,Zahínos,ES
792,"Zalamea de la Serena",ES
793,"La Zarza (Valladolid)",ES
794,Zarza-Capilla,ES
795,Alaior,ES
796,Alaró,ES
797,Alcúdia,ES
798,Algaida,ES
799,Andratx,ES
800,Ariany,ES
801,Artà,ES
802,Banyalbufar,ES
803,Binissalem,ES
804,Búger,ES
805,Bunyola,ES
806,Calvià,ES
807,Campanet,ES
808,Campos,ES
809,Capdepera,ES
810,"Castell, Es",ES
811,"Ciutadella de Menorca",ES
812,Consell,ES
813,Costitx,ES
814,Deià,ES
815,Eivissa,ES
816,Escorca,ES
817,Esporles,ES
818,Estellencs,ES
819,Felanitx,ES
820,Ferreries,ES
821,Formentera,ES
822,Fornalutx,ES
823,Inca,ES
824,"Lloret de Vistalegre",ES
825,Lloseta,ES
826,Llubí,ES
827,Llucmajor,ES
828,Manacor,ES
829,"Mancor de la Vall",ES
830,Maó-Mahón,ES
831,"Maria de la Salut",ES
832,Marratxí,ES
833,"Mercadal, Es",ES
834,"Migjorn Gran, Es",ES
835,Montuïri,ES
836,Muro,ES
837,"Palma de Mallorca",ES
838,Petra,ES
839,"Pobla, Sa",ES
840,Pollença,ES
841,Porreres,ES
842,Puigpunyent,ES
843,"Salines, Ses",ES
844,"Sant Antoni de Portmany",ES
845,"Sant Joan",ES
846,"Sant Joan de Labritja",ES
847,"Sant Josep de sa Talaia",ES
848,"Sant Llorenç des Cardassar",ES
849,"Sant Lluís",ES
850,"Santa Eugènia",ES
851,"Santa Eulalia del Río",ES
852,"Santa Margalida",ES
853,"Santa María del Camí",ES
854,Santanyí,ES
855,Selva,ES
856,Sencelles,ES
857,Sineu,ES
858,Sóller,ES
859,"Son Servera",ES
860,Valldemossa,ES
861,"Vilafranca de Bonany",ES
862,Abrera,ES
863,"Aguilar de Segarra",ES
864,Aiguafreda,ES
865,Alella,ES
866,Alpens,ES
867,"Ametlla del Vallès, L'",ES
868,"Arenys de Mar",ES
869,"Arenys de Munt",ES
870,Argençola,ES
871,Argentona,ES
872,Artés,ES
873,Avià,ES
874,Avinyó,ES
875,"Avinyonet del Penedès",ES
876,Badalona,ES
877,"Badia del Vallès",ES
878,Bagà,ES
879,Balenyà,ES
880,Balsareny,ES
881,"Barberà del Vallès",ES
882,Barcelona,ES
883,Begues,ES
884,Bellprat,ES
885,Berga,ES
886,"Bigues i Riells",ES
887,Borredà,ES
888,"Bruc, El",ES
889,"Brull, El",ES
890,"Cabanyes, Les",ES
891,"Cabrera d'Anoia",ES
892,"Cabrera de Mar",ES
893,Cabrils,ES
894,Calaf,ES
895,Calders,ES
896,"Caldes de Montbui",ES
897,"Caldes d'Estrac",ES
898,Calella,ES
899,Calldetenes,ES
900,Callús,ES
901,"Calonge de Segarra",ES
902,Campins,ES
903,"Canet de Mar",ES
904,Canovelles,ES
905,"Cànoves i Samalús",ES
906,Canyelles,ES
907,Capellades,ES
908,Capolat,ES
909,Cardedeu,ES
910,Cardona,ES
911,Carme,ES
912,Casserres,ES
913,"Castell de l'Areny",ES
914,"Castellar de n'Hug",ES
915,"Castellar del Riu",ES
916,"Castellar del Vallès",ES
917,"Castellbell i el Vilar",ES
918,Castellbisbal,ES
919,Castellcir,ES
920,Castelldefels,ES
921,"Castellet i la Gornal",ES
922,"Castellfollit de Riubregós",ES
923,"Castellfollit del Boix",ES
924,Castellgalí,ES
925,"Castellnou de Bages",ES
926,Castellolí,ES
927,Castellterçol,ES
928,"Castellví de la Marca",ES
929,"Castellví de Rosanes",ES
930,Centelles,ES
931,Cercs,ES
932,"Cerdanyola del Vallès",ES
933,Cervelló,ES
934,Collbató,ES
935,Collsuspina,ES
936,Copons,ES
937,"Corbera de Llobregat",ES
938,"Cornellà de Llobregat",ES
939,Cubelles,ES
940,Dosrius,ES
941,Esparreguera,ES
942,"Esplugues de Llobregat",ES
943,"Espunyola, L'",ES
944,"Estany, L'",ES
945,Figaró-Montmany,ES
946,Fígols,ES
947,"Fogars de la Selva",ES
948,"Fogars de Montclús",ES
949,Folgueroles,ES
950,Fonollosa,ES
951,Font-rubí,ES
952,"Franqueses del Vallès, Les",ES
953,Gaià,ES
954,Gallifa,ES
955,"Garriga, La",ES
956,Gavà,ES
957,Gelida,ES
958,Gironella,ES
959,Gisclareny,ES
960,"Granada, La",ES
961,Granera,ES
962,Granollers,ES
963,Gualba,ES
964,"Guardiola de Berguedà",ES
965,Gurb,ES
966,"Hospitalet de Llobregat, L'",ES
967,"Hostalets de Pierola, Els",ES
968,Igualada,ES
969,Jorba,ES
970,"Llacuna, La",ES
971,"Llagosta, La",ES
972,"Lliçà d'Amunt",ES
973,"Lliçà de Vall",ES
974,"Llinars del Vallès",ES
975,Lluçà,ES
976,"Malgrat de Mar",ES
977,Malla,ES
978,Manlleu,ES
979,Manresa,ES
980,Marganell,ES
981,Martorell,ES
982,Martorelles,ES
983,"Masies de Roda, Les",ES
984,"Masies de Voltregà, Les",ES
985,"Masnou, El",ES
986,Masquefa,ES
987,Matadepera,ES
988,Mataró,ES
989,Mediona,ES
990,Moià,ES
991,"Molins de Rei",ES
992,"Mollet del Vallès",ES
993,"Monistrol de Calders",ES
994,"Monistrol de Montserrat",ES
995,"Montcada i Reixac",ES
996,Montclar,ES
997,Montesquiu,ES
998,Montgat,ES
999,Montmajor,ES
1000,Montmaneu,ES
1001,Montmeló,ES
1002,"Montornès del Vallès",ES
1003,Montseny,ES
1004,Muntanyola,ES
1005,Mura,ES
1006,Navarcles,ES
1007,Navàs,ES
1008,"Nou de Berguedà, La",ES
1009,Òdena,ES
1010,Olèrdola,ES
1011,"Olesa de Bonesvalls",ES
1012,"Olesa de Montserrat",ES
1013,Olivella,ES
1014,Olost,ES
1015,Olvan,ES
1016,Orís,ES
1017,Oristà,ES
1018,Orpí,ES
1019,Òrrius,ES
1020,"Pacs del Penedès",ES
1021,Palafolls,ES
1022,"Palau-solità i Plegamans",ES
1023,Pallejà,ES
1024,"Palma de Cervelló, La",ES
1025,"Papiol, El",ES
1026,"Parets del Vallès",ES
1027,Perafita,ES
1028,Piera,ES
1029,"Pineda de Mar",ES
1030,"Pla del Penedès, El",ES
1031,"Pobla de Claramunt, La",ES
1032,"Pobla de Lillet, La",ES
1033,Polinyà,ES
1034,"Pont de Vilomara i Rocafort, El",ES
1035,Pontons,ES
1036,"Prat de Llobregat, El",ES
1037,"Prats de Lluçanès",ES
1038,"Prats de Rei, Els",ES
1039,"Premià de Dalt",ES
1040,"Premià de Mar",ES
1041,Puigdàlber,ES
1042,Puig-reig,ES
1043,Pujalt,ES
1044,"Quar, La",ES
1045,Rajadell,ES
1046,Rellinars,ES
1047,Ripollet,ES
1048,"Roca del Vallès, La",ES
1049,"Roda de Ter",ES
1050,Rubí,ES
